VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
android-1.6_r1,3,128,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,293,1091,285,326,1933,16977
android-1.6_r1.1,3,128,0.11732355637030248,0.0,0,0.0,0,0.0,6134,,2925,20358,1.6,293,1091,285,326,1933,16977
android-1.6_r1.2,3,128,0.11732355637030248,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,293,1091,285,326,1933,16977
android-1.6_r1.3,3,128,0.11732355637030248,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,293,1091,285,326,1933,16977
android-1.6_r1.4,3,128,0.11732355637030248,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,293,1091,285,326,1933,16977
android-1.6_r2,3,128,0.11732355637030248,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,293,1091,285,326,1933,16977
android-2.1_r1,3,128,0.11438784629133154,0.0,0.0,0.0,0.0,0.0,6134,src/com/android/calculator2/Calculator.java(45) src/com/android/calculator2/CalculatorDisplay.java(36) src/com/android/calculator2/CalculatorEditable.java(10) src/com/android/calculator2/ColorButton.java(64) src/com/android/calculator2/Logic.java(13) ,2925,20358,1.6,295,1119,285,326,1933,16977
android-2.0_r1,3,128,0.11438784629133154,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,295,1119,285,326,1933,16977
android-2.0.1_r1,3,128,0.11438784629133154,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,295,1119,285,326,1933,16977
android-1.6_r1.5,3,128,0.11732355637030248,0.0,0.0,0.0,0.0,0.0,6134,src/com/android/calculator2/Calculator.java(45) src/com/android/calculator2/CalculatorDisplay.java(36) src/com/android/calculator2/CalculatorEditable.java(10) src/com/android/calculator2/ColorButton.java(64) src/com/android/calculator2/Logic.java(13) ,2925,20358,1.6,293,1091,285,326,1933,16977
android-2.1_r2,3,128,0.11438784629133154,0.0,0.0,0.0,0.0,0.0,6134,src/com/android/calculator2/Calculator.java(45) src/com/android/calculator2/CalculatorDisplay.java(36) src/com/android/calculator2/CalculatorEditable.java(10) src/com/android/calculator2/ColorButton.java(64) src/com/android/calculator2/Logic.java(13) ,2925,20358,1.6,295,1119,285,326,1933,16977
android-2.1_r2.1s,3,128,0.11438784629133154,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,295,1119,285,326,1933,16977
android-2.1_r2.1p,3,128,0.11438784629133154,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,295,1119,285,326,1933,16977
android-2.1_r2.1p2,3,128,0.11438784629133154,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,295,1119,285,326,1933,16977
