VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
v1.0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,1979,3542,285,326,1933,16977
v1.1.1,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/example/mpchartexample/BarChartActivity.java(336) MPChartExample/src/com/example/mpchartexample/BarChartActivityMultiDataset.java(357) MPChartExample/src/com/example/mpchartexample/DrawChartActivity.java(196) MPChartExample/src/com/example/mpchartexample/LineChartActivity.java(141) MPChartExample/src/com/example/mpchartexample/MainActivity.java(120) MPChartExample/src/com/example/mpchartexample/MultiLineChartActivity.java(403) MPChartExample/src/com/example/mpchartexample/MultipleChartsActivity.java(79) MPChartExample/src/com/example/mpchartexample/MyMarkerView.java(25) MPChartExample/src/com/example/mpchartexample/PieChartActivity.java(71) MPChartExample/src/com/example/mpchartexample/ScatterChartActivity.java(223) MPChartLib/src/com/github/mikephil/charting/Approximator.java(121) MPChartLib/src/com/github/mikephil/charting/BarLineChartBase.java(1038) MPChartLib/src/com/github/mikephil/charting/BarLineChartTouchListener.java(274) MPChartLib/src/com/github/mikephil/charting/ChartData.java(224) MPChartLib/src/com/github/mikephil/charting/DataSet.java(197) MPChartLib/src/com/github/mikephil/charting/Highlight.java(45) MPChartLib/src/com/github/mikephil/charting/OnChartValueSelectedListener.java(7) MPChartLib/src/com/github/mikephil/charting/PieChart.java(800) MPChartLib/src/com/github/mikephil/charting/Series.java(82) MPChartLib/src/com/github/mikephil/charting/{ => charts}/BarChart.java(92) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(1505) MPChartLib/src/com/github/mikephil/charting/{ => charts}/Chart.java(574) MPChartLib/src/com/github/mikephil/charting/{ => charts}/LineChart.java(111) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(791) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(250) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(326) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(297) MPChartLib/src/com/github/mikephil/charting/data/DrawingContext.java(176) MPChartLib/src/com/github/mikephil/charting/data/Entry.java(140) MPChartLib/src/com/github/mikephil/charting/data/filter/Approximator.java(281) MPChartLib/src/com/github/mikephil/charting/exception/DrawingDataSetNotCreatedException.java(9) MPChartLib/src/com/github/mikephil/charting/interfaces/OnChartValueSelectedListener.java(10) MPChartLib/src/com/github/mikephil/charting/interfaces/OnDrawLineChartTouchListener.java(15) MPChartLib/src/com/github/mikephil/charting/interfaces/OnDrawListener.java(38) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(417) MPChartLib/src/com/github/mikephil/charting/{ => listener}/PieChartTouchListener.java(5) MPChartLib/src/com/github/mikephil/charting/{ => matrix}/Vector3.java(2) MPChartLib/src/com/github/mikephil/charting/{ => utils}/ColorTemplate.java(29) MPChartLib/src/com/github/mikephil/charting/utils/Highlight.java(59) MPChartLib/src/com/github/mikephil/charting/utils/MarkerView.java(114) MPChartLib/src/com/github/mikephil/charting/{ => utils}/PointD.java(6) MPChartLib/src/com/github/mikephil/charting/{ => utils}/SelInfo.java(2) MPChartLib/src/com/github/mikephil/charting/{ => utils}/Utils.java(130) MPChartLib/src/com/github/mikephil/charting/utils/YLegend.java(19) ,2925,20358,1.6,2606,4757,285,326,1933,16977
v1.2.1,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/example/mpchartexample/BarChartActivity.java(13) MPChartExample/src/com/example/mpchartexample/BarChartActivityMultiDataset.java(20) MPChartExample/src/com/example/mpchartexample/DrawChartActivity.java(18) MPChartExample/src/com/example/mpchartexample/LineChartActivity.java(133) MPChartExample/src/com/example/mpchartexample/MainActivity.java(1) MPChartExample/src/com/example/mpchartexample/MultiLineChartActivity.java(27) MPChartExample/src/com/example/mpchartexample/PieChartActivity.java(6) MPChartExample/src/com/example/mpchartexample/ScatterChartActivity.java(18) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(766) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(152) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(5) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(6) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(658) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(47) MPChartLib/src/com/github/mikephil/charting/data/DrawingContext.java(10) MPChartLib/src/com/github/mikephil/charting/data/Entry.java(3) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(7) MPChartLib/src/com/github/mikephil/charting/utils/ColorTemplate.java(36) MPChartLib/src/com/github/mikephil/charting/utils/Legend.java(330) MPChartLib/src/com/github/mikephil/charting/utils/Utils.java(17) MPChartLib/src/com/github/mikephil/charting/utils/{YLegend.java => YLabels.java}(6) ,2925,20358,1.6,2881,5149,285,326,1933,16977
v1.3.1,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/example/mpchartexample/DrawChartActivity.java(198) MPChartExample/src/com/example/mpchartexample/MainActivity.java(71) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/BarChartActivity.java(47) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/BarChartActivityMultiDataset.java(33) MPChartExample/src/com/xxmassdeveloper/mpchartexample/DrawChartActivity.java(211) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/LineChartActivity.java(25) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/MultiLineChartActivity.java(35) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/MyMarkerView.java(5) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/PieChartActivity.java(13) MPChartExample/src/com/{example => xxmassdeveloper}/mpchartexample/ScatterChartActivity.java(15) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/BarChartFrag.java(65) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/LineChartFrag.java(64) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java(53) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/ScatterChartFrag.java(67) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleChartDemo.java(85) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java(99) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/DemoBase.java(14) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/MainActivity.java(193) MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java(22) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(548) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(338) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(97) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(1445) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(10) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(20) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(2) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(4) MPChartLib/src/com/github/mikephil/charting/utils/ColorTemplate.java(57) MPChartLib/src/com/github/mikephil/charting/utils/FileUtils.java(155) MPChartLib/src/com/github/mikephil/charting/utils/Legend.java(161) MPChartLib/src/com/github/mikephil/charting/utils/Utils.java(70) MPChartLib/src/com/github/mikephil/charting/utils/XLabels.java(99) MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java(73) ,2925,20358,1.6,3214,6116,285,326,1933,16977
v1.3.2,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java(6) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java(12) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewBarChartActivity.java(155) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java(145) MPChartExample/src/com/xxmassdeveloper/mpchartexample/PieChartActivity.java(13) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/LineChartFrag.java(5) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java(8) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/BarChartItem.java(79) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/ChartItem.java(28) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/LineChartItem.java(80) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/PieChartItem.java(82) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/MainActivity.java(16) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(85) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(175) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(60) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(49) MPChartLib/src/com/github/mikephil/charting/data/DrawingContext.java(5) MPChartLib/src/com/github/mikephil/charting/exception/DrawingDataSetNotCreatedException.java(7) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(3) MPChartLib/src/com/github/mikephil/charting/listener/PieChartTouchListener.java(77) MPChartLib/src/com/github/mikephil/charting/utils/ColorTemplate.java(5) MPChartLib/src/com/github/mikephil/charting/utils/Highlight.java(102) MPChartLib/src/com/github/mikephil/charting/utils/Utils.java(5) ,2925,20358,1.6,3279,6556,285,326,1933,16977
v1.4.0,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/xxmassdeveloper/mpchartexample/AnotherBarActivity.java(233) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java(97) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivityMultiDataset.java(39) MPChartExample/src/com/xxmassdeveloper/mpchartexample/DrawChartActivity.java(37) MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java(302) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java(139) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewBarChartActivity.java(33) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java(79) MPChartExample/src/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java(80) MPChartExample/src/com/xxmassdeveloper/mpchartexample/PieChartActivity.java(48) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ScatterChartActivity.java(39) MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivity.java(263) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/BarChartFrag.java(10) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/LineChartFrag.java(19) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java(2) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/ScatterChartFrag.java(20) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java(87) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/BarChartItem.java(18) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/LineChartItem.java(18) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/PieChartItem.java(8) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/DemoBase.java(2) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/MainActivity.java(50) MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java(721) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(331) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(462) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(230) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(192) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(124) MPChartLib/src/com/github/mikephil/charting/data/BarData.java(23) MPChartLib/src/com/github/mikephil/charting/data/BarDataSet.java(178) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(284) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(235) MPChartLib/src/com/github/mikephil/charting/data/DrawingContext.java(15) MPChartLib/src/com/github/mikephil/charting/data/Entry.java(153) MPChartLib/src/com/github/mikephil/charting/data/LineData.java(23) MPChartLib/src/com/github/mikephil/charting/data/LineDataSet.java(271) MPChartLib/src/com/github/mikephil/charting/data/PieData.java(31) MPChartLib/src/com/github/mikephil/charting/data/PieDataSet.java(83) MPChartLib/src/com/github/mikephil/charting/data/ScatterData.java(23) MPChartLib/src/com/github/mikephil/charting/data/ScatterDataSet.java(110) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(33) MPChartLib/src/com/github/mikephil/charting/listener/PieChartTouchListener.java(2) MPChartLib/src/com/github/mikephil/charting/utils/FileUtils.java(134) MPChartLib/src/com/github/mikephil/charting/utils/Highlight.java(20) MPChartLib/src/com/github/mikephil/charting/utils/LabelBase.java(66) MPChartLib/src/com/github/mikephil/charting/utils/Legend.java(142) MPChartLib/src/com/github/mikephil/charting/utils/Utils.java(23) MPChartLib/src/com/github/mikephil/charting/utils/XLabels.java(62) MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java(31) ,2925,20358,1.6,4141,7674,285,326,1933,16977
v1.4.1,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/xxmassdeveloper/mpchartexample/AnotherBarActivity.java(20) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java(17) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivityMultiDataset.java(13) MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java(13) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java(38) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewBarChartActivity.java(11) MPChartExample/src/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java(23) MPChartExample/src/com/xxmassdeveloper/mpchartexample/PieChartActivity.java(354) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ScatterChartActivity.java(13) MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivity.java(23) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java(4) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/BarChartItem.java(6) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/LineChartItem.java(20) MPChartExample/src/com/xxmassdeveloper/mpchartexample/listviewitems/PieChartItem.java(19) MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java(79) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(99) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(227) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(55) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(16) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(37) MPChartLib/src/com/github/mikephil/charting/data/BarData.java(2) MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterData.java(81) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(57) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(35) MPChartLib/src/com/github/mikephil/charting/data/LineData.java(2) MPChartLib/src/com/github/mikephil/charting/data/ScatterData.java(2) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(2) MPChartLib/src/com/github/mikephil/charting/utils/ColorTemplate.java(172) MPChartLib/src/com/github/mikephil/charting/utils/LabelBase.java(2) MPChartLib/src/com/github/mikephil/charting/utils/LimitLine.java(127) ,2925,20358,1.6,4297,7943,285,326,1933,16977
v1.5.0,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/xxmassdeveloper/mpchartexample/AnotherBarActivity.java(6) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java(7) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivityMultiDataset.java(89) MPChartExample/src/com/xxmassdeveloper/mpchartexample/CandleStickChartActivity.java(209) MPChartExample/src/com/xxmassdeveloper/mpchartexample/CubicLineChartActivity.java(297) MPChartExample/src/com/xxmassdeveloper/mpchartexample/DrawChartActivity.java(11) MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java(15) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java(28) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivityColored.java(154) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewBarChartActivity.java(7) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java(10) MPChartExample/src/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java(18) MPChartExample/src/com/xxmassdeveloper/mpchartexample/MyMarkerView.java(15) MPChartExample/src/com/xxmassdeveloper/mpchartexample/PieChartActivity.java(23) MPChartExample/src/com/xxmassdeveloper/mpchartexample/RadarChartActivitry.java(211) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ScatterChartActivity.java(10) MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivity.java(18) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/ComplexityFragment.java(56) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleChartDemo.java(11) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java(44) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/{LineChartFrag.java => SineCosineFragment.java}(5) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/MainActivity.java(32) MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java(317) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(310) MPChartLib/src/com/github/mikephil/charting/charts/CandleStickChart.java(203) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(359) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(201) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(305) MPChartLib/src/com/github/mikephil/charting/charts/PieRadarChartBase.java(329) MPChartLib/src/com/github/mikephil/charting/charts/RadarChart.java(660) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(62) MPChartLib/src/com/github/mikephil/charting/data/BarData.java(44) MPChartLib/src/com/github/mikephil/charting/data/BarDataSet.java(59) MPChartLib/src/com/github/mikephil/charting/data/BarEntry.java(133) MPChartLib/src/com/github/mikephil/charting/data/{BarLineScatterData.java => BarLineScatterCandleRadarData.java}(6) MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarDataSet.java(41) MPChartLib/src/com/github/mikephil/charting/data/CandleData.java(22) MPChartLib/src/com/github/mikephil/charting/data/CandleDataSet.java(111) MPChartLib/src/com/github/mikephil/charting/data/CandleEntry.java(148) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(16) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(154) MPChartLib/src/com/github/mikephil/charting/data/Entry.java(122) MPChartLib/src/com/github/mikephil/charting/data/LineData.java(2) MPChartLib/src/com/github/mikephil/charting/data/LineDataSet.java(63) MPChartLib/src/com/github/mikephil/charting/data/LineRadarDataSet.java(114) MPChartLib/src/com/github/mikephil/charting/data/RadarData.java(28) MPChartLib/src/com/github/mikephil/charting/data/RadarDataSet.java(30) MPChartLib/src/com/github/mikephil/charting/data/ScatterData.java(2) MPChartLib/src/com/github/mikephil/charting/data/ScatterDataSet.java(4) MPChartLib/src/com/github/mikephil/charting/interfaces/OnChartValueSelectedListener.java(21) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(54) MPChartLib/src/com/github/mikephil/charting/listener/PieChartTouchListener.java(115) MPChartLib/src/com/github/mikephil/charting/listener/PieRadarChartTouchListener.java(119) MPChartLib/src/com/github/mikephil/charting/utils/ColorTemplate.java(6) MPChartLib/src/com/github/mikephil/charting/utils/FileUtils.java(5) MPChartLib/src/com/github/mikephil/charting/utils/Highlight.java(18) MPChartLib/src/com/github/mikephil/charting/utils/LabelBase.java(23) MPChartLib/src/com/github/mikephil/charting/utils/Legend.java(26) MPChartLib/src/com/github/mikephil/charting/utils/MarkerView.java(15) MPChartLib/src/com/github/mikephil/charting/utils/Utils.java(68) MPChartLib/src/com/github/mikephil/charting/utils/XLabels.java(32) MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java(4) ,2925,20358,1.6,5026,9775,285,326,1933,16977
v1.6.1,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/xxmassdeveloper/mpchartexample/AnotherBarActivity.java(8) MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java(85) MPChartExample/src/com/xxmassdeveloper/mpchartexample/CandleStickChartActivity.java(4) MPChartExample/src/com/xxmassdeveloper/mpchartexample/DrawChartActivity.java(23) MPChartExample/src/com/xxmassdeveloper/mpchartexample/DynamicalAddingActivity.java(181) MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java(1) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java(12) MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivityColored.java(5) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java(16) MPChartExample/src/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java(14) MPChartExample/src/com/xxmassdeveloper/mpchartexample/MyMarkerView.java(4) MPChartExample/src/com/xxmassdeveloper/mpchartexample/PieChartActivity.java(16) MPChartExample/src/com/xxmassdeveloper/mpchartexample/RadarChartActivitry.java(9) MPChartExample/src/com/xxmassdeveloper/mpchartexample/ScatterChartActivity.java(41) MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivity.java(15) MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java(26) MPChartExample/src/com/xxmassdeveloper/mpchartexample/notimportant/MainActivity.java(12) MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java(89) MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java(496) MPChartLib/src/com/github/mikephil/charting/charts/CandleStickChart.java(20) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(331) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(57) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(113) MPChartLib/src/com/github/mikephil/charting/charts/PieRadarChartBase.java(56) MPChartLib/src/com/github/mikephil/charting/charts/RadarChart.java(186) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(26) MPChartLib/src/com/github/mikephil/charting/data/BarData.java(8) MPChartLib/src/com/github/mikephil/charting/data/BarDataSet.java(9) MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java(21) MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarData.java(30) MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarDataSet.java(4) MPChartLib/src/com/github/mikephil/charting/data/CandleData.java(8) MPChartLib/src/com/github/mikephil/charting/data/CandleDataSet.java(4) MPChartLib/src/com/github/mikephil/charting/data/ChartData.java(203) MPChartLib/src/com/github/mikephil/charting/data/DataSet.java(123) MPChartLib/src/com/github/mikephil/charting/data/DrawingContext.java(176) MPChartLib/src/com/github/mikephil/charting/data/Entry.java(3) MPChartLib/src/com/github/mikephil/charting/data/LineData.java(8) MPChartLib/src/com/github/mikephil/charting/data/LineDataSet.java(4) MPChartLib/src/com/github/mikephil/charting/data/LineRadarDataSet.java(14) MPChartLib/src/com/github/mikephil/charting/data/PieData.java(8) MPChartLib/src/com/github/mikephil/charting/data/PieDataSet.java(4) MPChartLib/src/com/github/mikephil/charting/data/RadarData.java(8) MPChartLib/src/com/github/mikephil/charting/data/RadarDataSet.java(7) MPChartLib/src/com/github/mikephil/charting/data/ScatterData.java(8) MPChartLib/src/com/github/mikephil/charting/data/ScatterDataSet.java(12) MPChartLib/src/com/github/mikephil/charting/listener/BarLineChartTouchListener.java(357) MPChartLib/src/com/github/mikephil/charting/utils/ColorTemplate.java(76) MPChartLib/src/com/github/mikephil/charting/utils/Legend.java(30) MPChartLib/src/com/github/mikephil/charting/utils/LimitLine.java(2) MPChartLib/src/com/github/mikephil/charting/utils/Utils.java(84) MPChartLib/src/com/github/mikephil/charting/utils/XLabels.java(2) MPChartLib/src/com/github/mikephil/charting/utils/YLabelFormatter.java(26) MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java(90) ,2925,20358,1.6,5182,9992,285,326,1933,16977
v1.6.2,0,0,0.0,0,0.0,0,0,0,6134,MPChartExample/src/com/xxmassdeveloper/mpchartexample/MyValueFormatter.java(18) MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivity.java(5) MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java(6) MPChartLib/src/com/github/mikephil/charting/charts/Chart.java(70) MPChartLib/src/com/github/mikephil/charting/charts/LineChart.java(4) MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java(4) MPChartLib/src/com/github/mikephil/charting/charts/RadarChart.java(4) MPChartLib/src/com/github/mikephil/charting/charts/ScatterChart.java(4) MPChartLib/src/com/github/mikephil/charting/utils/ValueFormatter.java(23) MPChartLib/src/com/github/mikephil/charting/utils/YLabelFormatter.java(26) MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java(8) ,2925,20358,1.6,5185,10015,285,326,1933,16977
