VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
version/0.12.7,3,27,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,181,3080,285,326,1933,16977
version/0.12.9,3,27,0.008766233766233766,0.0,0,0.0,0,0.0,6134,{voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/EdgeSource.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/EdgeTarget.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/Flow.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/HeadsetDevice.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/IAction.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/Node.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/OnPhoneListener.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/OnScoListener.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/Peripheral.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/PhoneStateReceiver.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/RecognitionAdapter.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/ScoReceiver.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/TextToSpeechManager.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/UrlMessageFilter.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/UtteranceAdapter.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceAction.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceActionSet.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceCaptureAction.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponent.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponentImpl.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionModule.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceMessage.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceNoMatchAction.java(0) {voice-interaction => sdk-voice-interaction}/src/main/java/com/chattylabs/sdk/android/voice/VoiceRecognitionManager.java(0) ,2925,20358,1.6,181,3080,285,326,1933,16977
version/0.12.10,3,27,0.008766233766233766,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,181,3080,285,326,1933,16977
version/0.12.11,3,27,0.008766233766233766,0.0,0.0,0.0,0.0,0.0,6134,sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/TextToSpeechManager.java(6) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponent.java(2) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponentImpl.java(4) ,2925,20358,1.6,181,3080,285,326,1933,16977
version/0.12.12,3,27,0.008803390935767852,0.0,0.0,0.0,0.0,0.0,6134,sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/TextToSpeechManager.java(167) ,2925,20358,1.6,181,3067,285,326,1933,16977
version/0.12.13,3,27,0.008800521512385919,0.0,0.0,0.0,0.0,0.0,6134,sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/TextToSpeechManager.java(53) ,2925,20358,1.6,181,3068,285,326,1933,16977
version/0.12.14,3,27,0.008749189889825017,0.0,0.0,0.0,0.0,0.0,6134,sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/TextToSpeechManager.java(46) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponent.java(4) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponentImpl.java(10) ,2925,20358,1.6,181,3086,285,326,1933,16977
version/0.12.15,2,24,0.008,1.1666666666666667,0.037037037037037035,0.3333333333333333,0.0,0.0,6134,app/src/main/java/com/chattylabs/demo/voice/DemoApplication.java(9) app/src/main/java/com/chattylabs/demo/voice/GeneralForegroundService.java(95) app/src/main/java/com/chattylabs/demo/voice/MainActivity.java(7) app/src/main/java/com/chattylabs/demo/voice/OnBootCompletedReceiver.java(14) app/src/main/java/com/chattylabs/demo/voice/OnUpgradeReceiver.java(14) app/src/main/java/com/chattylabs/demo/voice/TestModule.java(28) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/{VoiceRecognitionManager.java => AndroidSpeechRecognizer.java}(69) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/{TextToSpeechManager.java => AndroidSpeechSynthesizer.java}(354) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/RecognitionAdapter.java(2) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponent.java(40) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponentImpl.java(116) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionModule.java(8) ,2925,20358,1.6,143,3000,285,326,1933,16977
version/0.12.16,2,24,0.008005336891260841,0.0,0.0,0.0,0.0,0.0,6134,sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/AndroidSpeechRecognizer.java(3) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/AndroidSpeechSynthesizer.java(3) ,2925,20358,1.6,143,2998,285,326,1933,16977
version/0.12.17,2,24,0.007976071784646061,0.0,0.0,0.0,0.0,0.0,6134,sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/AndroidSpeechRecognizer.java(1) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/AndroidSpeechSynthesizer.java(5) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponent.java(2) sdk-voice-interaction/src/main/java/com/chattylabs/sdk/android/voice/VoiceInteractionComponentImpl.java(17) ,2925,20358,1.6,143,3009,285,326,1933,16977
