VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
1.0-alpha,4,48,0.0,0.0,0.0,0.0,0.0,0.0,90,,14,100,0.7,28,682,7,7,47,197
1.0.1-alpha,4,48,0.07038123167155426,0.0,0,0.0,0,0.0,98,,18,213,0.7,28,682,21,37,67,249
1.0.2-alpha,4,48,0.07038123167155426,0.0,0,0.0,0.0,0.0,98,,18,213,0.7,28,682,21,37,67,249
1.0.3-alpha,4,48,0.07038123167155426,0.0,0,0.0,0.0,0.0,98,{materialaboutlibrary => library}/src/androidTest/java/com/danielstone/materialaboutlibrary/ExampleInstrumentedTest.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutActivity.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutListAdapter.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutCard.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutItem.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutList.java(0) {materialaboutlibrary => library}/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutTitleItem.java(0) {materialaboutlibrary => library}/src/test/java/com/danielstone/materialaboutlibrary/ExampleUnitTest.java(0) ,18,213,0.7,28,682,21,37,67,249
1.0.4-alpha,4,48,0.06966618287373004,0.0,0.0,0.0,0.0,0.0,99,app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(5) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutActivity.java(9) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(6) ,19,223,0.7,28,689,21,37,69,252
1.1.0,4,48,0.06966618287373004,0.0,0.0,0.0,0.0,0.0,99,library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(4) ,19,223,0.7,28,689,21,37,69,252
1.1.1,4,48,0.06966618287373004,0.0,0,0.0,0.0,0.0,99,,19,223,0.7,28,689,21,37,69,252
1.2,4,48,0.06495263870094722,0.0,0.0,0.0,0.0,0.0,110,app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(6) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(13) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(40) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutCard.java(17) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutList.java(7) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutTitleItem.java(17) ,21,233,0.7,28,739,21,37,78,284
1.2.0,4,48,0.06495263870094722,0.0,0,0.0,0.0,0.0,110,,21,233,0.7,28,739,21,37,78,284
1.3.0,4,48,0.05375139977603583,0.0,0.0,0.0,0.0,0.0,123,app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(4) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragment.java(102) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragmentActivity.java(32) app/src/main/java/com/danielstone/materialaboutlibrarydemo/MainActivity.java(13) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutFragment.java(48) ,25,283,0.7,32,893,24,44,84,328
1.4.0,4,48,0.043835616438356165,0.0,0.0,0.0,0.0,0.0,143,app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(85) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragment.java(86) library/src/main/java/com/danielstone/materialaboutlibrary/ConvenienceBuilder.java(211) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutActivity.java(35) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutFragment.java(37) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(221) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutListAdapter.java(88) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(5) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutItem.java(7) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutTitleItem.java(5) ,22,219,0.5,81,1095,28,48,106,379
1.4.1,4,48,0.043204320432043204,0.0,0.0,0.0,0.0,0.0,146,library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(26) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(17) ,22,219,0.5,81,1111,28,48,108,386
1.4.2,4,48,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,150,app/src/main/java/com/danielstone/materialaboutlibrarydemo/Demo.java(147) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(99) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragment.java(100) library/src/main/java/com/danielstone/materialaboutlibrary/ConvenienceBuilder.java(40) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(13) ,24,244,0.5,81,1088,29,49,110,387
1.5.0,4,48,0.04074702886247878,0.0,0.0,0.0,0.0,0.0,163,app/src/main/java/com/danielstone/materialaboutlibrarydemo/Demo.java(13) library/src/main/java/com/danielstone/materialaboutlibrary/ConvenienceBuilder.java(86) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(22) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(28) ,26,270,0.5,101,1178,30,50,118,418
1.6.0,4,48,0.026563364692861097,0.0,0.0,0.0,0.0,0.0,262,app/src/main/java/com/danielstone/materialaboutlibrarydemo/Demo.java(13) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(70) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragment.java(4) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragmentActivity.java(2) app/src/main/java/com/danielstone/materialaboutlibrarydemo/custom/MyCustomItem.java(336) app/src/main/java/com/danielstone/materialaboutlibrarydemo/custom/MyViewTypeManager.java(70) library/src/main/java/com/danielstone/materialaboutlibrary/ConvenienceBuilder.java(51) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutActivity.java(36) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutFragment.java(20) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutItemAdapter.java(186) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutListAdapter.java(16) library/src/main/java/com/danielstone/materialaboutlibrary/holders/MaterialAboutItemViewHolder.java(12) library/src/main/java/com/danielstone/materialaboutlibrary/items/MaterialAboutActionItem.java(391) library/src/main/java/com/danielstone/materialaboutlibrary/items/MaterialAboutItem.java(8) library/src/main/java/com/danielstone/materialaboutlibrary/items/MaterialAboutTitleItem.java(176) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutActionItem.java(213) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutCard.java(2) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutItem.java(14) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutList.java(10) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutTitleItem.java(97) library/src/main/java/com/danielstone/materialaboutlibrary/util/DefaultViewTypeManager.java(60) library/src/main/java/com/danielstone/materialaboutlibrary/util/ViewTypeManager.java(27) ,44,480,0.7,122,1807,45,56,190,647
1.7.0,4,48,0.02527646129541864,0.0,0.0,0.0,0.0,0.0,276,app/src/main/java/com/danielstone/materialaboutlibrarydemo/Application.java(19) app/src/main/java/com/danielstone/materialaboutlibrarydemo/Demo.java(26) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutActivity.java(37) app/src/main/java/com/danielstone/materialaboutlibrarydemo/ExampleMaterialAboutFragment.java(2) app/src/main/java/com/danielstone/materialaboutlibrarydemo/MainActivity.java(15) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutActivity.java(76) library/src/main/java/com/danielstone/materialaboutlibrary/MaterialAboutFragment.java(34) library/src/main/java/com/danielstone/materialaboutlibrary/adapters/MaterialAboutListAdapter.java(36) library/src/main/java/com/danielstone/materialaboutlibrary/items/MaterialAboutActionItem.java(245) library/src/main/java/com/danielstone/materialaboutlibrary/items/MaterialAboutTitleItem.java(146) library/src/main/java/com/danielstone/materialaboutlibrary/model/MaterialAboutList.java(8) ,50,587,0.8,125,1899,47,58,197,701
