VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
1.0,1,34,0.0,0.0,0.0,0.0,0.0,0.0,387,,62,731,0.8,9091,19115,46,61,260,936
1.1.0,1,34,0.0017874040584586269,0.0,0.0,0.0,0,0.0,387,worldclockwidget/src/ch/corten/aha/widget/FilterableArrayAdapter.java(536) worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(179) worldclockwidget/src/ch/corten/aha/worldclock/ClockListActivity.java(11) worldclockwidget/src/ch/corten/aha/worldclock/EditClockActivity.java(134) worldclockwidget/src/ch/corten/aha/worldclock/TimeZoneInfo.java(116) worldclockwidget/src/ch/corten/aha/worldclock/provider/CityDatabase.java(98) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClock.java(38) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClockContentProvider.java(153) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClockDatabase.java(51) ,62,731,0.8,8892,19022,46,61,260,936
1.1.1,1,34,0.0017871222076215505,0.0,0.0,0.0,0.0,0.0,4558,worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(4) worldclockwidget/src/ch/corten/aha/worldclock/EditClockActivity.java(31) worldclockwidget/src/ch/corten/aha/worldclock/provider/CityDatabase.java(4) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClock.java(4) ,562,4493,0.7,8892,19025,200,191,2254,8961
1.2.0,1,34,0.0017397533643759913,0.0,0.0,0.0,0.0,0.0,4655,worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(47) worldclockwidget/src/ch/corten/aha/worldclock/BindHelper.java(89) worldclockwidget/src/ch/corten/aha/worldclock/ClockListActivity.java(204) worldclockwidget/src/ch/corten/aha/worldclock/EditClockActivity.java(16) worldclockwidget/src/ch/corten/aha/worldclock/WeatherIcons.java(84) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockPreferenceActivity.java(29) worldclockwidget/src/ch/corten/aha/worldclock/provider/CityDatabase.java(16) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClock.java(28) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClockDatabase.java(39) worldclockwidget/src/ch/corten/aha/worldclock/weather/WeatherObservation.java(89) worldclockwidget/src/ch/corten/aha/worldclock/weather/WeatherService.java(21) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(223) ,564,4534,0.7,8954,19543,208,201,2293,9199
1.3.0,1,34,0.001725275282894403,0.0,0.0,0.0,0.0,0.0,4679,worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(13) worldclockwidget/src/ch/corten/aha/worldclock/BindHelper.java(15) worldclockwidget/src/ch/corten/aha/worldclock/ClockListActivity.java(30) worldclockwidget/src/ch/corten/aha/worldclock/ClockWidgetProvider.java(87) worldclockwidget/src/ch/corten/aha/worldclock/WeatherIcons.java(2) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetProvider.java(63) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(136) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockAppWidgetProvider.java(93) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClockContentProvider.java(20) worldclockwidget/src/ch/corten/aha/worldclock/weather/WeatherObservation.java(2) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(2) ,565,4536,0.7,9004,19707,212,209,2313,9259
1.4.0,1,34,0.0017098315313050039,0.0,0.0,0.0,0.0,0.0,4699,worldclockwidget/src/ch/corten/aha/widget/DigitalClock.java(3) worldclockwidget/src/ch/corten/aha/worldclock/UpdateWeatherService.java(164) worldclockwidget/src/ch/corten/aha/worldclock/WeatherIcons.java(70) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetProvider.java(27) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(8) worldclockwidget/src/ch/corten/aha/worldclock/{ClockListActivity.java => WorldClockActivity.java}(77) worldclockwidget/src/ch/corten/aha/worldclock/{WorldClockAppWidgetProvider.java => WorldClockWidgetProvider.java}(8) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(18) ,564,4521,0.7,9029,19885,213,212,2329,9344
1.4.1,1,34,0.0017092298411421677,0.0,0.0,0.0,0.0,0.0,4699,worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(28) worldclockwidget/src/ch/corten/aha/worldclock/EditClockActivity.java(28) worldclockwidget/src/ch/corten/aha/worldclock/WeatherIcons.java(12) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(2) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(5) ,564,4521,0.7,9029,19892,213,212,2329,9352
1.4.2,1,34,0.0017092298411421677,0.0,0,0.0,0.0,0.0,4699,,564,4521,0.7,9029,19892,213,212,2329,9352
1.4.3,1,34,0.0017092298411421677,0.0,0,0.0,0.0,0.0,4699,,564,4521,0.7,9029,19892,213,212,2329,9352
1.4.4,1,34,0.0017086285743002161,0.0,0.0,0.0,0.0,0.0,4700,worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(3) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(124) ,565,4523,0.7,9031,19899,214,212,2333,9354
1.4.5,1,34,0.0017056285742951742,0.0,0.0,0.0,0.0,0.0,4708,worldclockwidget/src/ch/corten/aha/worldclock/TimeZoneInfo.java(25) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(3) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(25) ,565,4523,0.7,9033,19934,214,212,2335,9374
1.4.6,1,34,0.0017054574638844303,0.0,0.0,0.0,0.0,0.0,4709,worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(2) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(9) ,564,4523,0.7,9032,19936,214,212,2335,9375
1.4.7,1,34,0.0016680567139282735,0.0,0.0,0.0,0.0,0.0,4780,worldclockwidget/src/ch/corten/aha/worldclock/UpdateWeatherService.java(14) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(28) worldclockwidget/src/ch/corten/aha/worldclock/provider/CityDatabase.java(2) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClockDatabase.java(2) worldclockwidget/src/ch/corten/aha/worldclock/weather/WeatherService.java(1) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(4) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/PlaceFinderService.java(83) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/WoeidCache.java(113) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/YahooWeatherService.java(341) ,573,4671,0.7,9080,20383,220,216,2372,9599
1.4.8,1,34,0.0015777262180974479,0.0,0.0,0.0,0.0,0.0,4989,worldclockwidget/src/ch/corten/aha/widget/RemoteViewUtil.java(13) worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(34) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetProvider.java(9) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(49) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(1) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockWidgetProvider.java(24) worldclockwidget/src/ch/corten/aha/worldclock/provider/CityDatabase.java(42) worldclockwidget/src/ch/corten/aha/worldclock/provider/WorldClock.java(36) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/PlaceFinderService.java(2) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/YahooWeatherService.java(3) worldclockwidget/src/net/margaritov/preference/colorpicker/AlphaPatternDrawable.java(128) worldclockwidget/src/net/margaritov/preference/colorpicker/ColorPickerDialog.java(143) worldclockwidget/src/net/margaritov/preference/colorpicker/ColorPickerPanelView.java(171) worldclockwidget/src/net/margaritov/preference/colorpicker/ColorPickerPreference.java(312) worldclockwidget/src/net/margaritov/preference/colorpicker/ColorPickerView.java(952) ,599,4810,0.7,9334,21550,229,222,2470,10226
1.4.9,1,34,0.0015707290030490622,0.0,0.0,0.0,0.0,0.0,5012,worldclockwidget/src/ch/corten/aha/worldclock/AddClockActivity.java(11) worldclockwidget/src/ch/corten/aha/worldclock/ClockWidgetProvider.java(49) worldclockwidget/src/ch/corten/aha/worldclock/UpdateWeatherService.java(39) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetProvider.java(23) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetSystemReceiver.java(17) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(12) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockWidgetProvider.java(6) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockWidgetSystemReceiver.java(17) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/PlaceFinderService.java(12) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/WoeidCache.java(3) ,598,4802,0.7,9342,21646,231,224,2478,10271
1.4.10,1,34,0.0015724724817315697,0.0,0.0,0.0,0.0,0.0,5010,worldclockwidget/src/ch/corten/aha/worldclock/BindHelper.java(45) worldclockwidget/src/ch/corten/aha/worldclock/TimeZoneInfo.java(7) worldclockwidget/src/ch/corten/aha/worldclock/UpdateWeatherService.java(8) worldclockwidget/src/ch/corten/aha/worldclock/WeatherIcons.java(6) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetProvider.java(6) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(6) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockActivity.java(4) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockWidgetProvider.java(36) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockWidgetService.java(16) worldclockwidget/src/ch/corten/aha/worldclock/provider/CityDatabase.java(17) worldclockwidget/src/ch/corten/aha/worldclock/weather/AbstractObservation.java(84) worldclockwidget/src/ch/corten/aha/worldclock/weather/google/GoogleWeatherService.java(237) worldclockwidget/src/ch/corten/aha/worldclock/weather/msn/MsnWeatherService.java(190) worldclockwidget/src/ch/corten/aha/worldclock/weather/yahoo/YahooWeatherService.java(83) worldclockwidget/src/net/margaritov/preference/colorpicker/ColorPickerPreference.java(45) ,598,4844,0.7,9346,21622,233,226,2476,10260
1.4.11,1,34,0.0015698587127158557,0.0,0.0,0.0,0.0,0.0,5018,worldclockwidget/src/ch/corten/aha/widget/CheckableFrameLayout.java(4) worldclockwidget/src/ch/corten/aha/widget/RemoteViewUtil.java(4) worldclockwidget/src/ch/corten/aha/worldclock/ClockWidgetProvider.java(54) worldclockwidget/src/ch/corten/aha/worldclock/TimeZoneInfo.java(3) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetProvider.java(3) worldclockwidget/src/ch/corten/aha/worldclock/WeatherWidgetService.java(15) worldclockwidget/src/ch/corten/aha/worldclock/WorldClockWidgetProvider.java(23) ,598,4844,0.7,9349,21658,233,228,2477,10271
