VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
v0.0.1,4,40,0.0,0.0,0.0,0.0,0.0,0.0,1762,,392,3904,0.8,688,1776,152,533,862,4680
v0.0.2,4,40,0.015168752370117557,0.0,0.0,0.0,0,0.0,431,library/src/main/java/didikee/github/helper/helper/AppSupprotHelper.java(3) library/src/main/java/didikee/github/helper/promot/ReviewManager.java(3) library/src/main/java/didikee/github/helper/recyclerview/ItemTouchHelperAdapter.java(2) library/src/main/java/didikee/github/helper/recyclerview/ItemTouchHelperViewHolder.java(1) library/src/main/java/didikee/github/helper/recyclerview/OnStartDragListener.java(1) library/src/main/java/didikee/github/helper/utils/IntentUtil.java(3) ,137,1040,1.3,437,2637,43,60,177,1082
v0.0.3,4,40,0.015174506828528073,0.0,0,0.0,0.0,0.0,431,,137,1040,1.3,437,2636,43,60,177,1082
v0.0.4,4,40,0.015174506828528073,0.0,0,0.0,0.0,0.0,431,,137,1040,1.3,437,2636,43,60,177,1082
v0.0.5,4,40,0.015174506828528073,0.0,0.0,0.0,0.0,0.0,431,library/src/main/java/didikee/github/helper/promot/PromotionUtils.java(7) ,137,1040,1.3,437,2636,43,60,177,1082
v0.0.6,4,40,0.012296341838303105,0.0,0.0,0.0,0.0,0.0,565,library/src/main/java/didikee/github/helper/{utils => file}/AssetUtil.java(2) library/src/main/java/didikee/github/helper/{utils => file}/FileChecker.java(2) library/src/main/java/didikee/github/helper/{utils => file}/FileMimeChecker.java(2) library/src/main/java/didikee/github/helper/{utils => file}/FileSorter.java(2) library/src/main/java/didikee/github/helper/file/FileSorter2.java(174) library/src/main/java/didikee/github/helper/{utils => file}/FileUtil.java(2) library/src/main/java/didikee/github/helper/{utils => file}/RawUtil.java(2) library/src/main/java/didikee/github/helper/{helper => file}/SerializationUtil.java(2) library/src/main/java/didikee/github/helper/{utils => file}/ZipUtil.java(2) library/src/main/java/didikee/github/helper/helper/AbsSerializationHelper.java(2) library/src/main/java/didikee/github/helper/{utils => uikit}/DisplayUtil.java(2) library/src/main/java/didikee/github/helper/{utils => uikit}/RippleUtil.java(2) library/src/main/java/didikee/github/helper/{utils => uikit}/StateDrawableBuilder.java(2) library/src/main/java/didikee/github/helper/{utils => uikit}/TintDrawableUtil.java(2) library/src/main/java/didikee/github/helper/utils/SizeUtil.java(2) library/src/main/java/didikee/github/share/ShareBox.java(271) library/src/main/java/didikee/github/share/ShareFileUtil.java(374) library/src/main/java/didikee/github/share/ShareType.java(77) ,147,1200,1.2,541,3253,48,65,214,1400
v0.0.7,4,40,0.012206286237412267,0.0,0.0,0.0,0.0,0.0,569,library/src/main/java/didikee/github/helper/utils/IntentUtil.java(33) ,149,1204,1.2,545,3277,48,65,216,1415
0.0.8,4,40,0.012206286237412267,0.0,0.0,0.0,0.0,0.0,571,library/src/main/java/didikee/github/helper/utils/PackageUtil.java(4) ,149,1204,1.2,545,3277,48,65,216,1415
0.0.9,4,40,0.012033694344163659,0.0,0.0,0.0,0.0,0.0,579,library/src/main/java/didikee/github/helper/uikit/RippleHelper.java(16) library/src/main/java/didikee/github/helper/view/NoScrollViewPager.java(71) ,155,1251,1.3,565,3324,51,67,222,1425
0.0.10,4,40,0.012044564890093345,0.0,0.0,0.0,0.0,0.0,579,library/src/main/java/didikee/github/helper/file/UriFixUtil.java(6) ,155,1251,1.3,565,3321,51,67,222,1425
1.0.1,4,40,0.011869436201780416,0.0,0.0,0.0,0.0,0.0,589,library/src/main/java/didikee/github/helper/bean/LanguageItem.java(18) library/src/main/java/didikee/github/helper/helper/LanguageHelper.java(182) library/src/main/java/didikee/github/helper/helper/LanguageUiHelper.java(87) ,161,1310,1.3,630,3370,53,70,228,1440
1.0.2,4,40,0.011702750146284377,0.0,0.0,0.0,0.0,0.0,598,library/src/main/java/didikee/github/helper/helper/LanguageActivity.java(42) library/src/main/java/didikee/github/helper/helper/LanguageHelper.java(109) ,165,1350,1.3,584,3418,54,71,233,1459
1.0.3,4,40,0.01171303074670571,0.0,0.0,0.0,0.0,0.0,597,library/src/main/java/didikee/github/helper/helper/LanguageHelper.java(54) library/src/main/java/didikee/github/helper/helper/LanguageUiHelper.java(12) ,165,1355,1.3,573,3415,54,71,233,1457
1.0.4,4,40,0.012523481527864746,0.0,0.0,0.0,0.0,0.0,554,library/src/main/java/didikee/github/helper/bean/LanguageItem.java(18) library/src/main/java/didikee/github/helper/helper/LanguageActivity.java(42) library/src/main/java/didikee/github/helper/helper/LanguageHelper.java(177) library/src/main/java/didikee/github/helper/helper/LanguageUiHelper.java(89) library/src/main/java/didikee/github/helper/promot/PromotionUtils.java(1) ,150,1226,1.3,517,3194,50,66,215,1359
1.0.5,4,40,0.01252740369558409,0.0,0.0,0.0,0.0,0.0,554,library/src/main/java/didikee/github/helper/promot/PromotionUtils.java(1) ,150,1226,1.3,517,3193,50,66,215,1358
