VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
0.1,4,48,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,112,1323,285,326,1933,16977
0.2,4,48,0.034657039711191336,0.08333333333333333,0.035398230088495575,0.0,0,0.0,6134,app/src/androidTest/java/com/zoomx/{zoomx => example}/ExampleInstrumentedTest.java(2) app/src/main/java/com/zoomx/{zoomx => example}/BaseApplication.java(3) app/src/main/java/com/zoomx/{zoomx => example}/MainActivity.java(8) app/src/main/java/com/zoomx/{zoomx => example}/model/User.java(2) app/src/main/java/com/zoomx/{zoomx => example}/retrofit/ApiService.java(4) app/src/main/java/com/zoomx/{zoomx => example}/retrofit/NetworkManager.java(2) app/src/test/java/com/zoomx/{zoomx => example}/ExampleUnitTest.java(2) zoomx/src/main/java/com/zoomx/zoomx/model/RequestEntity.java(53) zoomx/src/main/java/com/zoomx/zoomx/ui/response/BodyActivity.java(37) ,2925,20358,1.6,127,1385,285,326,1933,16977
0.3,4,48,0.03468208092485549,0.08333333333333333,0.10810810810810811,0.0,0.0,0.0,6134,app/src/androidTest/java/com/zoomx/{example => zoomx}/ExampleInstrumentedTest.java(2) app/src/main/java/com/zoomx/{example => zoomx}/BaseApplication.java(3) app/src/main/java/com/zoomx/{example => zoomx}/MainActivity.java(8) app/src/main/java/com/zoomx/{example => zoomx}/model/User.java(2) app/src/main/java/com/zoomx/{example => zoomx}/retrofit/ApiService.java(4) app/src/main/java/com/zoomx/{example => zoomx}/retrofit/NetworkManager.java(2) app/src/test/java/com/zoomx/{example => zoomx}/ExampleUnitTest.java(2) zoomx/src/main/java/com/zoomx/zoomx/ui/settings/SettingsManager.java(2) zoomx/src/main/java/com/zoomx/zoomx/volley/NetworkLogManager.java(12) ,2925,20358,1.6,122,1384,285,326,1933,16977
0.3.1,4,48,0.03411513859275053,0.08333333333333333,0.09523809523809523,0.0,0.0,0.0,6134,app/src/androidTest/java/com/zoomx/{zoomx => example}/ExampleInstrumentedTest.java(2) app/src/main/java/com/zoomx/{zoomx => example}/BaseApplication.java(3) app/src/main/java/com/zoomx/{zoomx => example}/MainActivity.java(8) app/src/main/java/com/zoomx/{zoomx => example}/model/User.java(2) app/src/main/java/com/zoomx/{zoomx => example}/retrofit/ApiService.java(4) app/src/main/java/com/zoomx/{zoomx => example}/retrofit/NetworkManager.java(2) app/src/test/java/com/zoomx/{zoomx => example}/ExampleUnitTest.java(2) zoomx/src/main/java/com/zoomx/zoomx/ui/request/RequestActivity.java(19) ,2925,20358,1.6,128,1407,285,326,1933,16977
0.5,4,48,0.03411513859275053,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,128,1407,285,326,1933,16977
0.6,4,48,0.03234501347708895,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/com/zoomx/example/BaseApplication.java(7) app/src/main/java/com/zoomx/example/retrofit/NetworkManager.java(2) zoomx/src/main/java/com/zoomx/zoomx/{manager => config}/Config.java(7) zoomx/src/main/java/com/zoomx/zoomx/{manager => config}/ZoomX.java(3) zoomx/src/main/java/com/zoomx/zoomx/manager/Constants.java(14) zoomx/src/main/java/com/zoomx/zoomx/model/RequestEntity.java(8) zoomx/src/main/java/com/zoomx/zoomx/{ => networklogger}/NetworkLogInterceptor.java(3) zoomx/src/main/java/com/zoomx/zoomx/{volley => networklogger}/NetworkLogManager.java(4) zoomx/src/main/java/com/zoomx/zoomx/ui/menu/MainActionMenu.java(2) zoomx/src/main/java/com/zoomx/zoomx/ui/{response/BodyActivity.java => requestdetails/JsonViewActivity.java}(12) zoomx/src/main/java/com/zoomx/zoomx/ui/requestdetails/RequestDetailsActivity.java(101) zoomx/src/main/java/com/zoomx/zoomx/ui/requestdetails/RequestDetailsViewModel.java(2) zoomx/src/main/java/com/zoomx/zoomx/ui/{request => requestlist}/RequestActivity.java(5) zoomx/src/main/java/com/zoomx/zoomx/ui/{request => requestlist}/RequestAdapter.java(4) zoomx/src/main/java/com/zoomx/zoomx/{viewmodel => ui/requestlist}/RequestListViewModel.java(4) zoomx/src/main/java/com/zoomx/zoomx/ui/{request => requestlist}/RequestViewHolder.java(3) zoomx/src/main/java/com/zoomx/zoomx/ui/settings/SettingActivity.java(7) zoomx/src/main/java/com/zoomx/zoomx/util/FormatUtil.java(2) ,2925,20358,1.6,125,1484,285,326,1933,16977
0.7,4,48,0.03234501347708895,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,125,1484,285,326,1933,16977
1.0,4,48,0.023054755043227664,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/com/zoomx/example/BaseApplication.java(3) app/src/main/java/com/zoomx/example/MainActivity.java(25) zoomx/src/main/java/com/zoomx/zoomx/config/Config.java(26) zoomx/src/main/java/com/zoomx/zoomx/config/ZoomX.java(48) zoomx/src/main/java/com/zoomx/zoomx/model/InfoModel.java(79) zoomx/src/main/java/com/zoomx/zoomx/ui/info/InfoActivity.java(27) zoomx/src/main/java/com/zoomx/zoomx/ui/info/InfoFragment.java(93) zoomx/src/main/java/com/zoomx/zoomx/ui/info/InfoSectionView.java(97) zoomx/src/main/java/com/zoomx/zoomx/ui/menu/MainActionMenu.java(7) zoomx/src/main/java/com/zoomx/zoomx/ui/menu/MenuCloseView.java(24) zoomx/src/main/java/com/zoomx/zoomx/ui/menu/ZoomxMenuService.java(85) zoomx/src/main/java/com/zoomx/zoomx/ui/requestdetails/JsonViewActivity.java(24) zoomx/src/main/java/com/zoomx/zoomx/ui/requestdetails/RequestDetailsActivity.java(208) zoomx/src/main/java/com/zoomx/zoomx/ui/requestdetails/RequestDetailsFragment.java(232) zoomx/src/main/java/com/zoomx/zoomx/ui/requestlist/RequestActivity.java(105) zoomx/src/main/java/com/zoomx/zoomx/ui/requestlist/RequestListFragment.java(121) zoomx/src/main/java/com/zoomx/zoomx/ui/settings/SettingActivity.java(35) zoomx/src/main/java/com/zoomx/zoomx/ui/settings/SettingsManager.java(8) zoomx/src/main/java/com/zoomx/zoomx/util/PhoneUtils.java(117) zoomx/src/main/java/com/zoomx/zoomx/util/ShakeEventManager.java(86) zoomx/src/main/java/com/zoomx/zoomx/util/ZoomxFileProvider.java(10) zoomx/src/main/java/com/zoomx/zoomx/util/constants/PrefConstants.java(10) ,2925,20358,1.6,158,2082,285,326,1933,16977
1.0.1,4,48,0.023054755043227664,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,158,2082,285,326,1933,16977
1.0.2,4,48,0.023099133782483156,0.0,0.0,0.0,0.0,0.0,6134,zoomx/src/main/java/com/zoomx/zoomx/ui/requestdetails/RequestDetailsFragment.java(4) zoomx/src/main/java/com/zoomx/zoomx/ui/requestlist/RequestAdapter.java(3) zoomx/src/main/java/com/zoomx/zoomx/ui/requestlist/RequestListFragment.java(2) ,2925,20358,1.6,158,2078,285,326,1933,16977
