VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
literacyapp-web-1.0.0,12,336,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,121,1079,285,326,1933,16977
literacyapp-web-1.0.1,12,336,0.3113994439295644,0.0,0,0.0,0,0.0,6134,,2925,20358,1.6,121,1079,285,326,1933,16977
literacyapp-web-1.0.2,12,336,0.3113994439295644,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,121,1079,285,326,1933,16977
literacyapp-web-1.0.3,12,336,0.3113994439295644,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,121,1079,285,326,1933,16977
literacyapp-web-1.0.4,12,336,0.3113994439295644,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,121,1079,285,326,1933,16977
literacyapp-web-1.0.5,12,336,0.2823529411764706,0.0,0.0,0.0,0.0,0.0,6134,src/main/java/org/literacyapp/model/Audio.java(19) src/main/java/org/literacyapp/model/Contributor.java(3) src/main/java/org/literacyapp/model/Image.java(15) src/main/java/org/literacyapp/model/Letter.java(36) src/main/java/org/literacyapp/model/Number.java(36) src/main/java/org/literacyapp/model/Word.java(34) ,2925,20358,1.6,121,1190,285,326,1933,16977
literacyapp-web-1.0.6,12,336,0.2747342600163532,0.0,0.0,0.0,0.0,0.0,6134,src/main/java/org/literacyapp/web/servlet/i18n/DomainLocaleResolver.java(40) src/main/java/org/literacyapp/web/servlet/i18n/LocaleChangeInterceptor.java(5) ,2925,20358,1.6,121,1223,285,326,1933,16977
literacyapp-web-1.0.7,13,357,0.24536082474226803,0.08403361344537816,0.09202453987730061,0.0,0.0,0.0,6134,src/main/java/org/literacyapp/dao/DbMigrationDao.java(15) src/main/java/org/literacyapp/dao/jpa/DbMigrationDaoJpa.java(41) src/main/java/org/literacyapp/model/Audio.java(15) src/main/java/org/literacyapp/model/Contributor.java(13) src/main/java/org/literacyapp/model/DbMigration.java(47) src/main/java/org/literacyapp/model/Letter.java(2) src/main/java/org/literacyapp/model/Number.java(2) src/main/java/org/literacyapp/model/enums/Provider.java(8) src/main/java/org/literacyapp/model/enums/Team.java(4) src/main/java/org/literacyapp/util/VersionHelper.java(45) src/main/java/org/literacyapp/util/db/migration/DbMigrationHelper.java(90) src/main/java/org/literacyapp/web/SignOnController.java(5) src/main/java/org/literacyapp/web/servlet/LiteracyAppDispatcherServlet.java(7) src/main/java/org/literacyapp/web/servlet/i18n/DomainLocaleResolver.java(2) src/test/java/org/literacyapp/util/VersionHelperTest.java(30) ,2925,20358,1.6,130,1455,285,326,1933,16977
literacyapp-web-1.0.8,13,357,0.22753346080305928,0.0,0.0,0.0,0.0,0.0,6134,src/main/java/org/literacyapp/model/Contributor.java(34) src/main/java/org/literacyapp/util/db/migration/DbMigrationHelper.java(13) src/main/java/org/literacyapp/web/SignOnController.java(3) src/main/java/org/literacyapp/web/SignOnControllerGoogle.java(135) src/main/java/org/literacyapp/web/servlet/LiteracyAppDispatcherServlet.java(11) src/main/java/org/literacyapp/web/servlet/i18n/LocaleChangeInterceptor.java(4) ,2925,20358,1.6,135,1569,285,326,1933,16977
literacyapp-web-1.0.9,13,357,0.19712865819988956,0.0,0.0,0.0,0.0,0.0,6134,src/main/java/org/literacyapp/model/Contributor.java(15) src/main/java/org/literacyapp/web/SignOnControllerFacebook.java(145) src/main/java/org/literacyapp/web/SignOnControllerGitHub.java(160) src/main/java/org/literacyapp/web/SignOnControllerGoogle.java(16) ,2925,20358,1.6,162,1811,285,326,1933,16977
