VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
1.0,4,34,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,138,1804,285,326,1933,16977
1.1.1,4,34,0.018847006651884702,0.0,0,0.0,0,0.0,6134,,2925,20358,1.6,138,1804,285,326,1933,16977
1.1,4,34,0.018857459789240156,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Connector.java(189) ,2925,20358,1.6,138,1803,285,326,1933,16977
1.1.2,4,34,0.018857459789240156,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/models/OHServer.java(2) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Connector.java(2) ,2925,20358,1.6,138,1803,285,326,1933,16977
1.1.3,4,34,0.018857459789240156,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,138,1803,285,326,1933,16977
1.1.4,4,34,0.018857459789240156,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,138,1803,285,326,1933,16977
1.1.5,4,34,0.018878400888395337,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Connector.java(25) ,2925,20358,1.6,138,1801,285,326,1933,16977
1.1.6,4,34,0.01888888888888889,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/serializers/LinkedPageDeserializer.java(2) ,2925,20358,1.6,138,1800,285,326,1933,16977
1.1.7,4,34,0.01888888888888889,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,138,1800,285,326,1933,16977
1.1.8,4,34,0.018878400888395337,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Scanner.java(2) ,2925,20358,1.6,137,1801,285,326,1933,16977
1.1.10,4,34,0.018878400888395337,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,137,1801,285,326,1933,16977
1.1.9,4,34,0.018878400888395337,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,137,1801,285,326,1933,16977
1.1.11,4,34,0.01803713527851459,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/OpenHabService.java(12) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Connector.java(87) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Scanner.java(39) ,2925,20358,1.6,167,1885,285,326,1933,16977
1.1.12,4,34,0.01803713527851459,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,167,1885,285,326,1933,16977
1.1.13,4,34,0.017754569190600523,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/Openhab.java(39) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Connector.java(31) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/IConnector.java(7) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/IScanner.java(11) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/IServerHandler.java(53) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Scanner.java(3) ,2925,20358,1.6,173,1915,285,326,1933,16977
1.1.14,4,34,0.01778242677824268,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/ConnectorUtil.java(3) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/models/OHWidget.java(17) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/util/OpenhabUtil.java(19) ,2925,20358,1.6,178,1912,285,326,1933,16977
1.1.15,4,34,0.01762571280456195,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/util/OpenhabConstants.java(21) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/util/OpenhabUtil.java(6) ,2925,20358,1.6,178,1929,285,326,1933,16977
1.1.16,4,34,0.01762571280456195,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/util/OpenhabConstants.java(2) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/util/OpenhabUtil.java(2) ,2925,20358,1.6,178,1929,285,326,1933,16977
1.1.17,4,34,0.017607457276022784,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/models/OHItem.java(5) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/models/OHStateDescription.java(24) ,2925,20358,1.6,177,1931,285,326,1933,16977
1.1.18,4,34,0.01751674394641937,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/OpenHabService.java(5) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/Connector.java(8) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/services/IServerHandler.java(8) ,2925,20358,1.6,183,1941,285,326,1933,16977
1.1.19,4,34,0.01751674394641937,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,183,1941,285,326,1933,16977
1.1.20,4,34,0.017418032786885244,0.0,0.0,0.0,0.0,0.0,6134,ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/models/OHItem.java(9) ohcommunicator/src/main/java/se/treehou/ng/ohcommunicator/connector/serializers/ItemDeserializer.java(5) ,2925,20358,1.6,183,1952,285,326,1933,16977
