VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
1.0.0,6,342,0.0,0.0,0.0,0.0,0.0,0.0,52,,6,72,0.5,260,342,8,9,30,143
1.1.0,17,720,0.759493670886076,1.136111111111111,1.0,0.6666666666666666,0,0.6666666666666666,113,test-butler-app/src/main/java/com/linkedin/android/testbutler/AnimationDisabler.java(16) test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(15) test-butler-app/src/main/java/com/linkedin/android/testbutler/GsmDataDisabler.java(90) test-butler-app/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(10) test-butler-app/src/main/java/com/linkedin/android/testbutler/PermissionGranter.java(63) test-butler-app/src/main/java/com/linkedin/android/testbutler/utils/ExceptionCreator.java(58) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/AnimationDisablerTest.java(28) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/DemoTestRunner.java(35) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/GsmEnablerTest.java(117) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/LocationServicesChangerTest.java(86) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/PermissionGranterTest.java(67) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/utils/Waiter.java(60) test-butler-demo/src/main/java/com/linkedin/android/testbutler/demo/MainActivity.java(28) test-butler-library/src/main/java/com/linkedin/android/testbutler/AnimationAssertions.java(81) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(64) ,13,182,0.6,231,948,22,25,68,317
1.0.1,13,582,0.7461538461538462,0.5498281786941581,1.0,0.47058823529411764,0.047619047619047616,0.17647058823529413,93,test-butler-app/src/main/java/com/linkedin/android/testbutler/AnimationDisabler.java(16) test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(8) test-butler-app/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(10) test-butler-app/src/main/java/com/linkedin/android/testbutler/PermissionGranter.java(63) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/AnimationDisablerTest.java(28) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/PermissionGranterTest.java(67) test-butler-library/src/main/java/com/linkedin/android/testbutler/AnimationAssertions.java(81) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(47) ,9,133,0.6,206,780,18,21,53,260
1.2.0,20,824,0.764378478664193,0.7184466019417476,1.0,0.38461538461538464,0.10416666666666667,0.3076923076923077,129,test-butler-app/src/main/java/com/linkedin/android/testbutler/AnimationDisabler.java(16) test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(35) test-butler-app/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(10) test-butler-app/src/main/java/com/linkedin/android/testbutler/PermissionGranter.java(63) test-butler-app/src/main/java/com/linkedin/android/testbutler/ShowImeWithHardKeyboardHelper.java(73) test-butler-app/src/main/java/com/linkedin/android/testbutler/SpellCheckerDisabler.java(63) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/AnimationDisablerTest.java(28) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/GsmEnablerTest.java(1) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/PermissionGranterTest.java(67) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/ShowImeWithHardKeyboardHelperTest.java(75) test-butler-library/src/main/java/com/linkedin/android/testbutler/AnimationAssertions.java(81) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(80) ,17,206,0.6,264,1078,25,28,78,364
1.3.0,22,908,0.7535269709543568,0.1696035242290749,1.0,0.15,0.0,0.0,142,test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(11) test-butler-app/src/main/java/com/linkedin/android/testbutler/ImmersiveModeConfirmationDisabler.java(68) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/ImmersiveModeConfirmationDisablerTest.java(26) test-butler-demo/src/main/java/com/linkedin/android/testbutler/demo/MainActivity.java(34) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(15) ,17,208,0.6,269,1205,27,30,84,402
1.3.1,22,912,0.7537190082644628,0.013157894736842105,1.0,0.09090909090909091,0.01282051282051282,0.045454545454545456,143,test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(4) test-butler-app/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(8) ,17,208,0.6,271,1210,27,30,85,404
1.3.2,22,928,0.7550854353132628,0.04633620689655173,1.0,0.045454545454545456,0.012658227848101266,0.045454545454545456,145,test-butler-app/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(43) ,18,228,0.6,279,1229,27,30,86,415
1.4.0,24,994,0.7581998474446987,0.15593561368209255,1.0,0.09090909090909091,0.0,0.0,156,test-butler-app/src/main/java/com/linkedin/android/testbutler/AlwaysFinishActivitiesChanger.java(68) test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(12) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/AlwaysFinishActivitiesChangerTest.java(59) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(16) ,18,230,0.6,289,1311,29,32,94,441
2.0.0,24,1000,0.7581501137225171,0.121,1.0,0.9166666666666666,0.06818181818181818,0.16666666666666666,159,test-butler-app/src/main/java/com/linkedin/android/testbutler/AlwaysFinishActivitiesChanger.java(18) test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(4) test-butler-app/src/main/java/com/linkedin/android/testbutler/ImmersiveModeConfirmationDisabler.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/LocationServicesChanger.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/PermissionGranter.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/RotationChanger.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/ShowImeWithHardKeyboardHelper.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/SpellCheckerDisabler.java(2) test-butler-app/src/main/java/com/linkedin/android/testbutler/utils/ExceptionCreator.java(4) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/AlwaysFinishActivitiesChangerTest.java(9) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/AnimationDisablerTest.java(6) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/DemoTestRunner.java(10) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/GsmEnablerTest.java(5) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/ImmersiveModeConfirmationDisablerTest.java(12) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/LocationServicesChangerTest.java(4) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/PermissionGranterTest.java(15) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/ShowImeWithHardKeyboardHelperTest.java(10) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/utils/Waiter.java(2) test-butler-demo/src/main/java/com/linkedin/android/testbutler/demo/MainActivity.java(2) test-butler-library/src/main/java/com/linkedin/android/testbutler/AnimationAssertions.java(2) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(4) ,18,230,0.6,289,1319,29,32,94,445
2.0.1,43,2183,1.6550416982562548,1.244159413650939,1.0,0.16666666666666666,0.045454545454545456,0.08333333333333333,159,{test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/AlwaysFinishActivitiesChanger.java(34) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/AnimationDisabler.java(2) test-butler-app-core/src/main/java/com/linkedin/android/testbutler/ButlerApiStubBase.java(117) test-butler-app-core/src/main/java/com/linkedin/android/testbutler/CommonDeviceLocks.java(82) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/ImmersiveModeConfirmationDisabler.java(16) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/LocationServicesChanger.java(51) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/NoDialogActivityController.java(23) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/RotationChanger.java(32) test-butler-app-core/src/main/java/com/linkedin/android/testbutler/SettingsAccessor.java(57) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/ShowImeWithHardKeyboardHelper.java(24) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/SpellCheckerDisabler.java(24) {test-butler-app => test-butler-app-core}/src/main/java/com/linkedin/android/testbutler/utils/ExceptionCreator.java(8) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/AdbCommand.java(129) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/AdbConnection.java(98) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/AdbDevice.java(197) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/ButlerService.java(167) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/ShellButlerServiceBinder.java(165) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/ActivityManagerWrapper.java(72) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/GsmDataDisabler.java(66) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/PermissionGranter.java(76) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/ServiceManagerWrapper.java(80) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/ShellButlerService.java(152) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/ShellLocationModeSetting.java(242) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/ShellSettingsAccessor.java(259) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/UiAutomationConnectionWrapper.java(100) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/shell/WifiManagerWrapper.java(50) test-butler-app-physical-devices/src/main/java/com/linkedin/android/testbutler/utils/ReflectionUtils.java(92) test-butler-app/src/main/java/com/linkedin/android/testbutler/AppSettingsAccessor.java(122) test-butler-app/src/main/java/com/linkedin/android/testbutler/ButlerService.java(122) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/DemoTestRunner.java(5) test-butler-demo/src/androidTest/java/com/linkedin/android/testbutler/demo/LocationServicesChangerTest.java(50) test-butler-library/src/main/java/com/linkedin/android/testbutler/TestButler.java(2) ,18,230,0.6,289,1319,29,32,94,445
