VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
1.0,2,24,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,25,267,285,326,1933,16977
1.1,2,24,0.08571428571428572,0.0,0.0,0.0,0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(44) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(90) ,2925,20358,1.6,14,280,285,326,1933,16977
1.1.1,2,24,0.08540925266903915,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(39) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(28) ,2925,20358,1.6,14,281,285,326,1933,16977
1.1.2,2,24,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(11) hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPLayer.java(12) ,2925,20358,1.6,14,280,285,326,1933,16977
1.1.3,2,24,0.08571428571428572,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,280,285,326,1933,16977
1.1.31,2,24,0.08571428571428572,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,280,285,326,1933,16977
1.1.32,2,24,0.08571428571428572,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,280,285,326,1933,16977
1.1.33,2,24,0.08571428571428572,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,280,285,326,1933,16977
1.1.34,2,24,0.08571428571428572,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,280,285,326,1933,16977
1.1.341,2,24,0.08571428571428572,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,280,285,326,1933,16977
1.1.342,2,24,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(10) hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/{HybridMediaPLayer.java => Hybrid.java}(12) ,2925,20358,1.6,14,280,285,326,1933,16977
1.1.4,2,24,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(10) hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/{Hybrid.java => HybridMediaPlayer.java}(12) ,2925,20358,1.6,14,280,285,326,1933,16977
1.1.5,2,24,0.08664259927797834,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(3) ,2925,20358,1.6,14,277,285,326,1933,16977
1.1.6,2,24,0.08664259927797834,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(22) ,2925,20358,1.6,14,277,285,326,1933,16977
1.1.7,2,24,0.08540925266903915,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(10) ,2925,20358,1.6,14,281,285,326,1933,16977
1.1.8,2,24,0.08247422680412371,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(12) ,2925,20358,1.6,14,291,285,326,1933,16977
1.1.9,2,24,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(2) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(4) ,2925,20358,1.6,14,292,285,326,1933,16977
1.2.0,2,24,0.0821917808219178,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,292,285,326,1933,16977
1.2.1,2,24,0.07717041800643087,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(11) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(22) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(6) ,2925,20358,1.6,14,311,285,326,1933,16977
1.2.1.1,2,24,0.07717041800643087,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,311,285,326,1933,16977
1.2.1.2,2,24,0.08304498269896193,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(8) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(8) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(7) ,2925,20358,1.6,14,289,285,326,1933,16977
1.2.1.3,2,24,0.07717041800643087,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(8) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(8) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(7) ,2925,20358,1.6,14,311,285,326,1933,16977
1.2.2,2,24,0.07717041800643087,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,311,285,326,1933,16977
1.2.3,2,24,0.07717041800643087,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,14,311,285,326,1933,16977
1.2.4,2,24,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(12) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(4) hybridmediaplayer/src/main/java/hybridmediaplayer/SeekableExtractorsFactory.java(134) ,2925,20358,1.6,38,424,285,326,1933,16977
1.2.5,2,24,0.05466970387243736,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(8) hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(12) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(12) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(3) ,2925,20358,1.6,38,439,285,326,1933,16977
1.2.6,2,24,0.05417607223476298,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(7) ,2925,20358,1.6,38,443,285,326,1933,16977
1.2.7,2,24,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(15) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(10) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(7) ,2925,20358,1.6,41,464,285,326,1933,16977
1.2.8,2,24,0.05042016806722689,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(8) hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(7) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(22) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(3) ,2925,20358,1.6,43,476,285,326,1933,16977
1.2.9,2,24,0.048879837067209775,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(16) hybridmediaplayer/src/main/java/hybridmediaplayer/AndroidMediaPlayer.java(6) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(10) hybridmediaplayer/src/main/java/hybridmediaplayer/HybridMediaPlayer.java(3) ,2925,20358,1.6,44,491,285,326,1933,16977
1.3,2,24,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(11) ,2925,20358,1.6,44,488,285,326,1933,16977
1.3.0,2,24,0.04918032786885246,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,44,488,285,326,1933,16977
1.3.1,2,24,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(26) ,2925,20358,1.6,47,508,285,326,1933,16977
1.3.2,2,24,0.047337278106508875,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(9) ,2925,20358,1.6,47,507,285,326,1933,16977
1.3.3,2,24,0.047337278106508875,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,47,507,285,326,1933,16977
1.3.4,2,24,0.047337278106508875,0.0,0.0,0.0,0.0,0.0,6134,hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(1) ,2925,20358,1.6,47,507,285,326,1933,16977
1.3.5,2,24,0.04660194174757282,0.0,0.0,0.0,0.0,0.0,6134,demo/src/main/java/hybridmediaplayer/demo/MainActivity.java(7) hybridmediaplayer/src/main/java/hybridmediaplayer/ExoMediaPlayer.java(9) ,2925,20358,1.6,47,515,285,326,1933,16977
