VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
v0.1.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,136,4937,285,326,1933,16977
v0.1.4,1,9,0.0016759776536312849,0.0,0.0,0.0,0,0.0,6134,app/src/main/java/org/ole/planet/takeout/Dashboard.java(10) app/src/main/java/org/ole/planet/takeout/Data/realm_answer.java(71) app/src/main/java/org/ole/planet/takeout/Data/realm_answerChoices.java(3) app/src/main/java/org/ole/planet/takeout/Data/realm_examQuestion.java(41) app/src/main/java/org/ole/planet/takeout/Data/realm_submissions.java(71) app/src/main/java/org/ole/planet/takeout/courses/CourseStepFragment.java(26) app/src/main/java/org/ole/planet/takeout/courses/exam/TakeExamFragment.java(276) app/src/main/java/org/ole/planet/takeout/datamanager/DatabaseService.java(1) app/src/main/java/org/ole/planet/takeout/survey/AdapterSurvey.java(33) app/src/main/java/org/ole/planet/takeout/survey/SurveyFragment.java(32) ,2925,20358,1.6,145,5370,285,326,1933,16977
v0.1.5,1,9,0.0016759776536312849,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,145,5370,285,326,1933,16977
v0.1.6,1,9,0.0016759776536312849,0.0,0,0.0,0.0,0.0,6134,,2925,20358,1.6,145,5370,285,326,1933,16977
v0.1.7,1,9,0.0016222062004325882,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/org/ole/planet/takeout/DashboardFragment.java(35) app/src/main/java/org/ole/planet/takeout/Data/realm_UserModel.java(5) app/src/main/java/org/ole/planet/takeout/Data/realm_meetups.java(57) app/src/main/java/org/ole/planet/takeout/courses/TakeCourseFragment.java(2) app/src/main/java/org/ole/planet/takeout/mymeetup/MyMeetupDetailFragment.java(130) app/src/main/java/org/ole/planet/takeout/utilities/TimeUtils.java(18) ,2925,20358,1.6,150,5548,285,326,1933,16977
v0.1.9,1,9,0.0015177065767284991,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/org/ole/planet/takeout/AuthSessionUpdater.java(2) app/src/main/java/org/ole/planet/takeout/Dashboard.java(3) app/src/main/java/org/ole/planet/takeout/DashboardFragment.java(37) app/src/main/java/org/ole/planet/takeout/Data/realm_UserModel.java(2) app/src/main/java/org/ole/planet/takeout/Data/realm_answer.java(9) app/src/main/java/org/ole/planet/takeout/Data/realm_courseSteps.java(6) app/src/main/java/org/ole/planet/takeout/Data/realm_myLibrary.java(2) app/src/main/java/org/ole/planet/takeout/Data/realm_stepExam.java(14) app/src/main/java/org/ole/planet/takeout/Data/realm_submissions.java(26) app/src/main/java/org/ole/planet/takeout/LoginActivity.java(18) app/src/main/java/org/ole/planet/takeout/MySurveyFragment.java(5) app/src/main/java/org/ole/planet/takeout/SyncActivity.java(15) app/src/main/java/org/ole/planet/takeout/base/BaseRecyclerFragment.java(24) app/src/main/java/org/ole/planet/takeout/courses/exam/BaseExamFragment.java(61) app/src/main/java/org/ole/planet/takeout/courses/exam/TakeExamFragment.java(76) app/src/main/java/org/ole/planet/takeout/mymeetup/MyMeetupDetailFragment.java(2) app/src/main/java/org/ole/planet/takeout/service/SyncManager.java(12) app/src/main/java/org/ole/planet/takeout/service/TransactionSyncManager.java(19) app/src/main/java/org/ole/planet/takeout/survey/AdapterSurvey.java(70) app/src/main/java/org/ole/planet/takeout/survey/SurveyFragment.java(28) app/src/main/java/org/ole/planet/takeout/survey/SurveyHistoryFragment.java(34) app/src/main/java/org/ole/planet/takeout/teams/MyTeamsDetailFragment.java(167) app/src/main/java/org/ole/planet/takeout/utilities/TimeUtils.java(9) app/src/main/java/org/ole/planet/takeout/utilities/Utilities.java(2) ,2925,20358,1.6,156,5930,285,326,1933,16977
v0.2.0,1,9,0.001477832512315271,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/org/ole/planet/takeout/Dashboard.java(30) app/src/main/java/org/ole/planet/takeout/DashboardElements.java(26) app/src/main/java/org/ole/planet/takeout/Data/realm_offlineActivities.java(70) app/src/main/java/org/ole/planet/takeout/LoginActivity.java(26) app/src/main/java/org/ole/planet/takeout/OfflineVisits.java(2) app/src/main/java/org/ole/planet/takeout/SyncActivity.java(7) app/src/main/java/org/ole/planet/takeout/callback/SuccessListener.java(5) app/src/main/java/org/ole/planet/takeout/callback/SyncListener.java(1) app/src/main/java/org/ole/planet/takeout/service/AutoSyncService.java(3) app/src/main/java/org/ole/planet/takeout/service/SyncManager.java(2) app/src/main/java/org/ole/planet/takeout/service/TransactionSyncManager.java(4) app/src/main/java/org/ole/planet/takeout/service/UploadManager.java(75) app/src/main/java/org/ole/planet/takeout/userprofile/UserProfileDbHandler.java(27) app/src/main/java/org/ole/planet/takeout/utilities/DialogUtils.java(7) app/src/main/java/org/ole/planet/takeout/utilities/Utilities.java(4) ,2925,20358,1.6,153,6090,285,326,1933,16977
v0.2.2,1,9,0.0014478764478764478,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/org/ole/planet/takeout/Dashboard.java(6) app/src/main/java/org/ole/planet/takeout/DashboardFragment.java(1) app/src/main/java/org/ole/planet/takeout/Data/realm_UserModel.java(19) app/src/main/java/org/ole/planet/takeout/Data/realm_answer.java(56) app/src/main/java/org/ole/planet/takeout/Data/realm_answerChoices.java(15) app/src/main/java/org/ole/planet/takeout/Data/realm_courseSteps.java(4) app/src/main/java/org/ole/planet/takeout/Data/realm_courses.java(137) app/src/main/java/org/ole/planet/takeout/Data/realm_examQuestion.java(43) app/src/main/java/org/ole/planet/takeout/Data/realm_myCourses.java(46) app/src/main/java/org/ole/planet/takeout/Data/realm_myLibrary.java(3) app/src/main/java/org/ole/planet/takeout/Data/realm_stepExam.java(31) app/src/main/java/org/ole/planet/takeout/Data/realm_submissions.java(47) app/src/main/java/org/ole/planet/takeout/ImageViewerActivity.java(18) app/src/main/java/org/ole/planet/takeout/LoginActivity.java(13) app/src/main/java/org/ole/planet/takeout/MyMeetUpsFragment.java(2) app/src/main/java/org/ole/planet/takeout/MySurveyFragment.java(2) app/src/main/java/org/ole/planet/takeout/SyncActivity.java(28) app/src/main/java/org/ole/planet/takeout/base/BaseContainerFragment.java(5) app/src/main/java/org/ole/planet/takeout/base/BaseRecyclerFragment.java(40) app/src/main/java/org/ole/planet/takeout/callback/OnCourseItemSelected.java(4) app/src/main/java/org/ole/planet/takeout/courses/AdapterCourses.java(8) app/src/main/java/org/ole/planet/takeout/courses/MyCourseFragment.java(11) app/src/main/java/org/ole/planet/takeout/courses/exam/BaseExamFragment.java(53) app/src/main/java/org/ole/planet/takeout/courses/exam/TakeExamFragment.java(83) app/src/main/java/org/ole/planet/takeout/service/SyncManager.java(18) app/src/main/java/org/ole/planet/takeout/service/TransactionSyncManager.java(7) app/src/main/java/org/ole/planet/takeout/service/UploadManager.java(32) ,2925,20358,1.6,152,6216,285,326,1933,16977
v0.2.3,1,9,0.0013434841021047917,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/org/ole/planet/takeout/Dashboard.java(33) app/src/main/java/org/ole/planet/takeout/DashboardElements.java(26) app/src/main/java/org/ole/planet/takeout/Data/realm_answer.java(25) app/src/main/java/org/ole/planet/takeout/Data/realm_examQuestion.java(7) app/src/main/java/org/ole/planet/takeout/Data/realm_feedback.java(136) app/src/main/java/org/ole/planet/takeout/Data/realm_messages.java(57) app/src/main/java/org/ole/planet/takeout/Data/realm_myLibrary.java(7) app/src/main/java/org/ole/planet/takeout/Data/realm_submissions.java(24) app/src/main/java/org/ole/planet/takeout/LoginActivity.java(23) app/src/main/java/org/ole/planet/takeout/SyncActivity.java(16) app/src/main/java/org/ole/planet/takeout/courses/exam/BaseExamFragment.java(40) app/src/main/java/org/ole/planet/takeout/courses/exam/UserInformationFragment.java(164) app/src/main/java/org/ole/planet/takeout/feedback/FeedbackFragment.java(140) app/src/main/java/org/ole/planet/takeout/service/SyncManager.java(32) app/src/main/java/org/ole/planet/takeout/service/UploadManager.java(25) app/src/main/java/org/ole/planet/takeout/utilities/Constants.java(10) ,2925,20358,1.6,158,6699,285,326,1933,16977
v0.2.4,1,9,0.001308139534883721,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/org/ole/planet/takeout/Dashboard.java(29) app/src/main/java/org/ole/planet/takeout/DashboardElements.java(5) app/src/main/java/org/ole/planet/takeout/Data/realm_UserModel.java(11) app/src/main/java/org/ole/planet/takeout/LoginActivity.java(2) app/src/main/java/org/ole/planet/takeout/MyMeetUpsFragment.java(1) app/src/main/java/org/ole/planet/takeout/base/BaseRecyclerFragment.java(14) app/src/main/java/org/ole/planet/takeout/courses/AdapterCourses.java(9) app/src/main/java/org/ole/planet/takeout/courses/MyCourseFragment.java(22) app/src/main/java/org/ole/planet/takeout/library/AdapterLibrary.java(7) app/src/main/java/org/ole/planet/takeout/library/MyLibraryFragment.java(20) app/src/main/java/org/ole/planet/takeout/userprofile/SettingActivity.java(83) app/src/main/java/org/ole/planet/takeout/userprofile/UserProfileDbHandler.java(7) app/src/main/java/org/ole/planet/takeout/utilities/BottomNavigationViewHelper.java(29) ,2925,20358,1.6,155,6880,285,326,1933,16977
