VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
1.0.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,699,2139,285,326,1933,16977
1.0.1,1,8,0.0037400654511453952,0.0,0,0.0,0,0.0,6134,,2925,20358,1.6,699,2139,285,326,1933,16977
1.0.2,1,8,0.003743565746373421,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/DragPinchManager.java(6) ,2925,20358,1.6,701,2137,285,326,1933,16977
1.0.3,1,8,0.0037122969837587007,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/DragPinchManager.java(22) src/main/java/com/github/paperrose/pdfviewer/PDFView.java(6) ,2925,20358,1.6,699,2155,285,326,1933,16977
1.0.4,1,8,0.0036900369003690036,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/DragPinchManager.java(27) src/main/java/com/github/paperrose/pdfviewer/PDFView.java(9) ,2925,20358,1.6,701,2168,285,326,1933,16977
1.0.5,1,8,0.0037071362372567192,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/DragPinchManager.java(30) src/main/java/com/github/paperrose/pdfviewer/PDFView.java(9) ,2925,20358,1.6,701,2158,285,326,1933,16977
1.0.6,1,8,0.0037071362372567192,0.0,0,0.0,0,0.0,6134,,2925,20358,1.6,701,2158,285,326,1933,16977
1.0.7,1,8,0.0036231884057971015,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(88) ,2925,20358,1.6,708,2208,285,326,1933,16977
1.0.8,1,8,0.003618272274988693,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(5) ,2925,20358,1.6,708,2211,285,326,1933,16977
1.0.9,1,8,0.003618272274988693,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2211,285,326,1933,16977
1.0.10,1,8,0.0036150022593764122,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2213,285,326,1933,16977
1.0.11,1,8,0.0036101083032490976,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(4) ,2925,20358,1.6,708,2216,285,326,1933,16977
1.0.12,1,8,0.0036068530207394047,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2218,285,326,1933,16977
1.0.13,1,8,0.0036036036036036037,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2220,285,326,1933,16977
1.0.14,1,8,0.0036003600360036,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2222,285,326,1933,16977
1.0.15,1,8,0.0035938903863432167,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(9) ,2925,20358,1.6,708,2226,285,326,1933,16977
1.0.16,1,8,0.0035842293906810036,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(12) ,2925,20358,1.6,708,2232,285,326,1933,16977
1.0.17,1,8,0.0035826242722794446,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2233,285,326,1933,16977
1.0.18,1,8,0.0035826242722794446,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(2) ,2925,20358,1.6,708,2233,285,326,1933,16977
1.0.19,1,8,0.003568242640499554,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(25) ,2925,20358,1.6,712,2242,285,326,1933,16977
1.0.20,1,8,0.003550821127385708,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(36) ,2925,20358,1.6,712,2253,285,326,1933,16977
1.0.21,1,8,0.003550821127385708,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(20) ,2925,20358,1.6,694,2253,285,326,1933,16977
1.0.22,1,8,0.00354295837023915,0.0,0.0,0.0,0,0.0,6134,src/main/java/com/github/paperrose/pdfviewer/PDFView.java(14) ,2925,20358,1.6,694,2258,285,326,1933,16977
