VERS,NTC,TTL,TLR,MTLR,MRTL,MCR,MMR,MCMMR,CC,CHANGE,CODE_SMELLS,TD,DEBT_RATIO,CLOC,LOC,NOC,NOF,NOM,STAT
v0.1,4,48,0.0,0.0,0.0,0.0,0.0,0.0,6134,,2925,20358,1.6,350,2372,285,326,1933,16977
v0.2,4,48,0.01805869074492099,0.0,0.0,0.0,0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/DisturbanceFragment.java(224) app/src/main/java/im/tny/segvault/disturbances/DisturbanceRecyclerViewAdapter.java(220) app/src/main/java/im/tny/segvault/disturbances/DisturbancesFragment.java(108) app/src/main/java/im/tny/segvault/disturbances/LineFragment.java(23) app/src/main/java/im/tny/segvault/disturbances/{MyLineRecyclerViewAdapter.java => LineRecyclerViewAdapter.java}(4) app/src/main/java/im/tny/segvault/disturbances/MainActivity.java(23) ,2925,20358,1.6,354,2658,285,326,1933,16977
v0.3,4,48,0.017499088589135983,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/API.java(13) app/src/main/java/im/tny/segvault/disturbances/AboutFragment.java(5) app/src/main/java/im/tny/segvault/disturbances/Application.java(2) app/src/main/java/im/tny/segvault/disturbances/DatasetInfoView.java(21) app/src/main/java/im/tny/segvault/disturbances/DisturbanceFragment.java(12) app/src/main/java/im/tny/segvault/disturbances/FCMService.java(35) app/src/main/java/im/tny/segvault/disturbances/LineFragment.java(8) app/src/main/java/im/tny/segvault/disturbances/MainActivity.java(74) app/src/main/java/im/tny/segvault/disturbances/{LocationService.java => MainService.java}(121) ,2925,20358,1.6,359,2743,285,326,1933,16977
v0.4,4,48,0.01659177324576564,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/AboutFragment.java(6) app/src/main/java/im/tny/segvault/disturbances/MainActivity.java(7) app/src/main/java/im/tny/segvault/disturbances/MainService.java(21) app/src/main/java/im/tny/segvault/disturbances/NotifPreferenceFragment.java(154) ,2925,20358,1.6,362,2893,285,326,1933,16977
v0.5,4,48,0.01263823064770932,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/AboutFragment.java(12) app/src/main/java/im/tny/segvault/disturbances/DisturbanceFragment.java(7) app/src/main/java/im/tny/segvault/disturbances/DisturbanceRecyclerViewAdapter.java(22) app/src/main/java/im/tny/segvault/disturbances/InstantAutoComplete.java(83) app/src/main/java/im/tny/segvault/disturbances/MainActivity.java(13) app/src/main/java/im/tny/segvault/disturbances/MainService.java(42) app/src/main/java/im/tny/segvault/disturbances/MapFragment.java(180) app/src/main/java/im/tny/segvault/disturbances/NotifPreferenceFragment.java(55) app/src/main/java/im/tny/segvault/disturbances/RouteFragment.java(308) app/src/main/java/im/tny/segvault/disturbances/StationPickerView.java(410) app/src/main/java/im/tny/segvault/disturbances/Util.java(42) s2ls/src/main/java/im/tny/segvault/subway/Line.java(49) s2ls/src/main/java/im/tny/segvault/subway/Network.java(5) ,2925,20358,1.6,431,3798,285,326,1933,16977
v0.6,4,48,0.012377514182568335,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/API.java(2) app/src/main/java/im/tny/segvault/disturbances/MainService.java(6) app/src/main/java/im/tny/segvault/disturbances/RouteFragment.java(239) app/src/main/java/im/tny/segvault/disturbances/StationPickerView.java(6) s2ls/src/main/java/im/tny/segvault/subway/Line.java(17) s2ls/src/main/java/im/tny/segvault/subway/Network.java(12) s2ls/src/main/java/im/tny/segvault/subway/Station.java(9) ,2925,20358,1.6,430,3878,285,326,1933,16977
v0.7,4,48,0.01209982354423998,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/FCMService.java(4) app/src/main/java/im/tny/segvault/disturbances/LineFragment.java(173) app/src/main/java/im/tny/segvault/disturbances/MainService.java(208) ,2925,20358,1.6,432,3967,285,326,1933,16977
v0.8,4,48,0.011793611793611793,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/ConnectionWeighter.java(48) app/src/main/java/im/tny/segvault/disturbances/LineFragment.java(13) app/src/main/java/im/tny/segvault/disturbances/MainService.java(14) app/src/main/java/im/tny/segvault/disturbances/RouteFragment.java(55) s2ls/src/main/java/im/tny/segvault/subway/IEdgeWeighter.java(9) s2ls/src/main/java/im/tny/segvault/subway/Network.java(22) s2ls/src/main/java/im/tny/segvault/subway/Station.java(3) ,2925,20358,1.6,431,4070,285,326,1933,16977
v0.9,4,48,0.011639185257032008,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/API.java(10) app/src/main/java/im/tny/segvault/disturbances/MainService.java(19) app/src/main/java/im/tny/segvault/disturbances/NotifPreferenceFragment.java(5) app/src/main/java/im/tny/segvault/disturbances/RouteFragment.java(50) s2ls/src/main/java/im/tny/segvault/subway/Station.java(31) ,2925,20358,1.6,431,4124,285,326,1933,16977
v0.10,4,48,0.00998543790305804,0.0,0.0,0.0,0.0,0.0,6134,app/src/main/java/im/tny/segvault/disturbances/AboutFragment.java(15) app/src/main/java/im/tny/segvault/disturbances/DisturbanceFragment.java(100) app/src/main/java/im/tny/segvault/disturbances/HomeFragment.java(77) app/src/main/java/im/tny/segvault/disturbances/LineFragment.java(44) app/src/main/java/im/tny/segvault/disturbances/MainActivity.java(42) app/src/main/java/im/tny/segvault/disturbances/MainService.java(139) app/src/main/java/im/tny/segvault/disturbances/MapFragment.java(21) app/src/main/java/im/tny/segvault/disturbances/NotifPreferenceFragment.java(16) app/src/main/java/im/tny/segvault/disturbances/OnBootReceiver.java(18) app/src/main/java/im/tny/segvault/disturbances/OnReplacedReceiver.java(16) app/src/main/java/im/tny/segvault/disturbances/OnTopFragmentInteractionListener.java(10) app/src/main/java/im/tny/segvault/disturbances/RouteFragment.java(32) app/src/main/java/im/tny/segvault/disturbances/TopFragment.java(60) app/src/main/java/im/tny/segvault/disturbances/WiFiChecker.java(70) s2ls/src/main/java/im/tny/segvault/s2ls/IInNetworkDetector.java(2) s2ls/src/main/java/im/tny/segvault/s2ls/ILocator.java(2) s2ls/src/main/java/im/tny/segvault/s2ls/IProximityDetector.java(2) s2ls/src/main/java/im/tny/segvault/s2ls/InNetworkState.java(203) s2ls/src/main/java/im/tny/segvault/s2ls/NearNetworkState.java(51) s2ls/src/main/java/im/tny/segvault/s2ls/OffNetworkState.java(51) s2ls/src/main/java/im/tny/segvault/s2ls/OnStatusChangeListener.java(17) s2ls/src/main/java/im/tny/segvault/s2ls/S2LS.java(94) s2ls/src/main/java/im/tny/segvault/s2ls/State.java(77) s2ls/src/main/java/im/tny/segvault/s2ls/wifi/IBSSIDChecker.java(11) s2ls/src/main/java/im/tny/segvault/s2ls/wifi/WiFiLocator.java(65) s2ls/src/main/java/im/tny/segvault/subway/Line.java(13) s2ls/src/main/java/im/tny/segvault/subway/Network.java(17) s2ls/src/main/java/im/tny/segvault/subway/Station.java(22) ,2925,20358,1.6,448,4807,285,326,1933,16977
